Station,Date,Time,Alk-Tot,BOD,Ca-Dis,Cl-Dis,EC,Fe-Dis,Mg-Dis,NH3N,NO3N,Na-Dis,O2-Dis,Pb-Dis,SO4-Dis,SiO2-Rea,TDP,TEMP,TSS,Zn-Dis,pH,Station Identifier,Latitude,Longitude
RUS00025,2016-08-10,,60.0,0.9,12.0,1.2,,0.02,3.9,0.04,0.01,1.2,7.2,,,1.01,0.02,20.8,22.0,0.0075,7.4,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2016-08-10,,63.0,1.2,12.0,1.2,,0.05,4.7,0.08,0.01,1.2,6.9,,,2.28,0.02,10.4,2.0,0.0104,7.3,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2016-11-01,,63.0,0.9,15.0,1.1,,0.02,2.6,0.03,0.01,1.1,9.9,,,0.57,0.02,3.0,4.0,0.0036,7.6,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2016-11-01,,64.0,1.2,15.4,1.1,,0.02,2.4,0.02,0.01,1.1,8.4,,,0.52,0.02,2.8,5.0,0.0021,7.4,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2017-03-15,,62.0,0.6,12.0,1.7,,0.02,4.9,0.02,0.03,1.1,6.6,,1.0,0.62,0.02,0.0,3.0,0.0072,7.6,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2017-03-15,,70.0,0.6,15.6,1.5,,0.07,4.4,0.02,0.18,1.1,6.0,,1.0,2.26,0.02,1.8,2.0,0.0011,7.4,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2017-05-31,,61.0,1.5,12.2,1.2,,0.05,3.5,0.07,0.01,1.9,10.5,,,1.26,0.03,5.2,7.0,0.0061,7.2,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2017-05-31,,62.0,1.2,12.4,1.2,,0.04,3.4,0.07,0.01,1.9,9.6,,,1.2,0.02,5.0,9.0,0.0192,7.0,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2017-08-29,,59.0,0.6,10.6,1.0,,0.02,4.5,0.04,0.01,1.5,7.8,,,0.51,0.02,17.0,8.0,0.0091,7.4,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2017-08-29,,59.0,0.5,10.2,1.0,,0.03,4.5,0.1,0.08,1.5,6.0,,,0.7,0.02,14.8,9.0,0.0096,7.4,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2017-10-25,,56.0,1.8,11.9,1.0,,0.04,3.5,0.06,0.01,1.5,9.9,,2.2,,0.02,6.0,2.0,0.0172,7.4,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2017-10-25,,56.0,2.1,11.7,1.0,,0.03,3.6,0.04,0.01,1.5,8.7,,2.2,,0.02,4.8,4.0,0.0074,7.4,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2018-03-12,,74.0,0.9,12.9,1.8,,0.02,5.3,0.13,0.05,2.1,8.1,,,0.23,0.03,0.0,2.0,0.003,7.8,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2018-03-12,,78.0,0.6,13.1,1.8,,0.02,5.6,0.12,0.1,2.3,7.1,,,0.33,0.1,0.0,2.0,0.007,7.7,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2018-05-15,,50.0,4.0,14.7,1.2,,0.03,2.1,0.02,0.01,1.4,11.8,,5.5,0.33,0.02,5.0,2.0,0.004,7.2,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2018-05-15,,53.0,3.7,13.7,1.2,,0.02,2.4,0.19,0.01,1.4,9.9,,3.7,0.29,0.02,3.4,2.0,0.013,7.4,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2018-08-15,,62.0,0.9,12.9,1.4,,0.02,4.3,0.09,0.01,1.0,6.8,,,0.56,0.02,19.4,15.0,0.013,7.4,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2018-08-15,,60.0,2.5,12.5,1.5,,0.03,4.6,0.11,0.05,1.0,5.0,,1.0,1.62,0.02,14.2,25.0,0.032,7.2,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2018-11-11,,67.0,3.7,13.1,1.0,,0.02,3.8,0.02,0.01,2.1,12.1,,1.0,1.17,0.02,0.8,2.0,0.005,7.4,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2018-11-11,,67.0,4.0,12.7,1.0,,0.02,4.0,0.02,0.01,2.1,10.5,,1.0,1.19,0.02,0.2,2.0,0.011,7.3,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2019-03-16,,182.0,0.6,34.7,3.3,,0.03,12.8,0.27,0.1,4.1,7.2,,2.0,2.07,0.21,0.4,4.0,0.026,7.4,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2019-03-16,,182.0,0.9,35.7,3.3,,0.03,12.9,0.28,0.08,4.3,6.0,,5.0,2.11,0.24,2.0,4.0,0.01,7.4,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2019-05-13,,59.0,0.9,12.9,1.6,,0.08,3.2,0.01,0.03,1.7,9.9,,1.2,1.35,0.02,5.0,2.0,0.012,7.0,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2019-05-13,,59.0,0.9,12.2,2.3,,0.11,3.3,0.04,0.04,2.1,9.3,,1.0,1.33,0.05,1.8,8.0,0.014,7.4,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2019-08-28,,61.0,0.9,12.7,1.3,,0.04,3.6,0.04,0.01,1.6,8.1,,1.0,0.64,0.02,13.0,4.0,0.012,7.2,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2019-08-28,,62.0,1.2,12.3,1.4,,0.09,3.5,0.03,0.01,1.8,7.5,,1.0,1.29,0.02,12.8,6.0,0.089,7.2,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2019-10-30,,64.0,1.2,11.7,2.2,,0.02,4.9,0.02,0.01,2.0,10.8,,1.0,0.73,0.02,2.4,3.0,0.008,7.5,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2019-10-30,,64.0,0.6,12.7,1.5,,0.06,4.4,0.02,0.02,1.3,9.6,,1.0,0.73,0.03,3.2,9.0,0.008,7.3,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2020-03-17,,64.0,1.2,13.3,1.6,,0.02,3.4,0.11,0.18,1.5,7.9,,1.0,,0.02,0.4,3.0,0.005,7.4,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2020-03-17,,70.0,0.5,15.5,1.7,,0.02,3.7,0.11,0.27,1.5,7.3,,1.0,,0.04,1.8,,0.003,7.5,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2020-05-24,,54.0,1.2,11.9,1.6,,0.11,3.7,0.02,0.01,1.2,10.5,,2.0,0.56,0.03,6.0,9.0,0.005,7.1,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2020-05-24,,49.0,0.9,10.5,1.5,,0.08,3.6,0.04,0.02,1.2,9.9,,2.0,0.52,0.05,4.0,7.0,0.007,6.9,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2020-08-30,,61.0,0.6,14.0,1.1,,0.02,3.1,0.02,0.01,1.0,9.0,,1.0,0.32,0.25,14.4,2.0,0.017,7.3,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2020-08-30,,17.0,0.9,2.6,1.1,,0.03,1.1,0.02,0.01,0.7,8.4,,1.0,0.26,0.02,12.2,7.0,0.02,7.0,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2020-11-15,,65.0,0.9,14.2,1.7,,0.04,4.1,0.1,0.04,2.3,12.9,,4.0,0.97,0.02,0.4,6.0,0.01,7.2,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2020-11-15,,59.0,2.4,14.0,1.9,,0.17,4.3,0.08,0.02,1.9,11.4,,4.0,1.02,0.02,3.2,14.0,0.028,7.2,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2021-03-31,,13.0,2.2,3.0,1.7,,0.02,1.0,0.04,0.14,1.0,6.1,,1.0,0.05,0.02,0.2,2.0,0.001,6.7,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2021-03-31,,37.0,1.2,7.4,1.6,,0.02,3.4,0.05,0.11,1.0,5.5,,1.4,0.05,0.03,0.8,3.0,0.001,6.9,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2021-05-15,,58.0,0.6,11.6,1.7,,0.03,3.9,0.02,0.01,1.9,10.8,,2.0,1.09,0.03,6.8,2.0,0.005,7.2,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2021-05-15,,56.0,0.9,11.6,1.7,,0.05,3.9,0.02,0.01,1.9,10.1,,3.0,1.05,0.02,3.8,6.0,0.005,6.6,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2021-08-15,,66.0,0.6,14.2,1.9,,0.02,3.9,0.03,0.01,2.8,9.2,,1.0,1.16,0.03,17.0,6.0,0.003,7.0,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2021-08-15,,68.0,0.9,14.2,2.0,,0.06,4.1,0.03,0.01,2.4,8.0,,1.0,1.31,0.03,10.6,9.0,0.001,7.6,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2021-11-05,,66.0,0.9,15.0,2.9,,0.08,4.0,0.04,0.03,1.8,9.2,,2.0,0.93,0.09,4.2,13.0,0.004,7.2,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2021-11-05,,67.0,1.2,15.0,2.9,,0.08,4.0,0.48,0.06,1.8,8.6,,2.0,1.18,0.05,6.0,7.0,0.005,6.8,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2022-03-14,,74.0,0.6,15.4,1.8,,0.06,4.6,0.05,0.01,1.9,9.7,,1.0,0.71,0.02,0.2,2.0,0.0015,7.0,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2022-03-14,,201.0,1.2,37.6,5.3,,0.05,14.8,0.05,0.01,5.8,8.5,,5.0,3.66,0.46,2.0,2.0,0.0101,7.4,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2022-05-20,,50.0,0.6,11.4,2.2,,0.16,3.0,0.06,0.01,1.3,9.7,,1.6,1.35,0.02,4.8,,0.008,6.6,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2022-05-20,,50.0,1.2,11.8,2.3,,0.22,3.3,0.06,0.01,1.2,7.9,,2.4,0.94,0.03,1.6,,0.0026,6.8,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2022-08-14,,60.0,0.9,13.0,2.2,,0.03,3.6,0.03,0.01,2.0,10.0,,1.0,1.08,0.02,19.0,2.0,0.0029,7.4,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2022-08-14,,59.0,1.2,13.0,2.4,,0.02,3.6,0.03,0.01,1.9,8.2,,1.0,1.25,0.02,12.0,26.0,0.0142,7.6,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2022-11-10,,64.0,0.9,15.0,1.5,,0.03,3.3,0.29,0.02,2.0,11.5,,1.0,0.71,0.04,3.2,2.0,0.0045,6.8,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00025,2022-11-10,,63.0,0.9,14.8,1.6,,0.04,3.2,0.2,0.03,2.0,9.7,,1.0,0.69,0.03,4.8,2.0,0.001,7.0,Lekshm Lake,61.7097222222222,38.0541666666667
RUS00036,2015-02-02,,50.0,1.0,23.2,16.0,200.0,0.03,6.7,0.01,0.7,23.8,12.9,0.002,9.4,0.4,0.06,0.1,2.0,0.012,7.7,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2015-05-25,,39.0,1.0,11.5,5.1,100.0,0.04,1.4,0.02,0.16,5.0,11.0,0.001,7.6,0.05,0.02,10.8,5.0,0.0069,7.8,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2015-05-25,,32.0,1.3,11.5,5.5,100.0,0.04,1.5,0.06,0.19,5.2,10.6,0.001,7.7,0.05,0.02,10.8,2.0,0.0086,7.8,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2015-08-11,,37.0,1.0,11.0,4.9,100.0,0.04,2.2,0.04,0.13,6.4,8.7,0.001,8.3,0.1,0.02,20.5,5.0,0.01,7.3,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2015-08-11,,36.0,1.0,11.1,5.0,100.0,0.04,2.1,0.02,0.13,6.6,9.0,0.001,8.0,0.1,0.02,20.3,5.0,0.0085,7.6,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2015-10-12,,35.0,1.3,12.3,5.3,100.0,0.06,1.4,0.01,0.17,6.3,11.3,0.002,8.1,0.05,0.02,6.8,5.0,0.011,7.2,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2015-10-12,,35.0,1.8,12.4,5.4,100.0,0.05,2.0,0.03,0.18,6.4,11.3,0.002,8.1,0.1,0.02,6.8,5.0,0.013,7.2,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2016-02-01,,62.0,3.7,18.5,16.4,200.0,0.08,2.9,0.43,0.87,14.5,12.4,0.002,10.4,0.4,0.11,0.3,5.0,0.016,7.3,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2016-05-12,,41.0,1.4,9.9,4.8,100.0,0.05,1.0,0.01,0.01,5.1,10.4,0.001,6.9,0.05,0.02,11.8,5.0,0.006,7.4,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2016-05-12,,37.0,1.4,9.9,4.9,100.0,0.05,1.0,0.02,0.01,5.2,10.3,0.001,7.5,0.05,0.02,11.8,6.0,0.004,7.3,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2016-08-01,,43.0,1.0,10.2,5.1,100.0,0.16,1.0,0.01,0.13,5.6,8.2,0.001,7.7,0.1,0.02,20.0,2.0,0.008,7.3,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2016-08-01,,94.0,1.0,28.3,32.8,300.0,1.3,1.0,0.65,0.63,28.8,8.2,0.002,32.2,0.6,0.06,20.0,5.0,0.017,7.2,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2016-10-13,,52.0,1.3,9.6,7.0,100.0,0.18,3.1,0.05,0.59,5.1,11.1,0.002,8.9,0.2,0.03,7.2,5.0,0.009,6.9,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2017-02-01,,62.0,2.3,14.4,8.0,200.0,0.08,4.7,0.16,0.54,6.9,13.8,0.001,9.2,0.3,0.04,0.2,2.0,0.017,7.2,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2017-05-10,,38.0,1.0,8.7,5.5,100.0,0.08,2.5,0.01,0.24,4.4,12.0,0.001,8.9,,0.02,6.6,5.0,0.011,7.7,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2017-05-10,,39.0,1.0,8.8,5.0,100.0,0.07,2.5,0.01,0.22,4.4,11.7,0.001,5.7,,0.02,6.6,10.0,0.037,7.6,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2017-08-01,,53.0,1.0,8.7,6.0,100.0,0.07,1.0,0.01,0.17,5.4,8.8,0.001,9.2,0.6,0.02,18.4,2.0,0.01,6.9,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2017-08-01,,60.0,1.0,8.3,6.2,100.0,0.05,1.0,0.01,0.14,5.2,8.7,0.001,9.4,0.9,0.02,18.4,2.0,0.012,6.9,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2017-10-16,,48.0,0.5,9.9,7.4,100.0,0.17,1.4,0.01,0.37,6.1,10.4,0.001,10.0,1.5,0.02,8.2,2.0,0.086,7.3,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2017-10-16,,56.0,1.0,10.1,6.9,100.0,0.16,1.3,0.01,0.28,6.2,10.4,0.001,9.8,1.6,0.02,8.2,2.0,0.05,7.3,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2018-02-13,,66.0,1.0,23.5,9.0,100.0,0.11,5.0,0.1,0.38,9.6,13.0,0.001,10.0,3.3,0.03,0.0,2.0,0.052,7.3,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2018-05-07,,34.0,1.1,8.9,5.0,100.0,0.28,1.0,0.02,0.19,5.7,13.2,0.001,8.0,0.1,0.02,7.3,5.0,0.044,7.4,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2018-05-07,,37.0,1.0,8.7,4.0,100.0,0.13,1.0,0.01,0.13,5.3,13.1,0.001,8.0,,0.02,6.9,5.0,0.039,7.4,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2018-08-01,,32.0,0.5,9.5,5.0,100.0,0.07,1.0,0.01,0.11,5.6,8.5,0.001,8.0,0.4,0.04,20.5,2.0,0.006,7.0,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2018-08-01,,33.0,1.0,9.2,5.0,100.0,0.06,1.0,0.01,0.12,5.4,8.5,0.001,8.0,0.3,0.03,20.7,2.0,0.012,7.0,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2018-10-09,,36.0,1.0,9.8,7.0,100.0,0.08,1.0,0.03,0.21,6.0,10.9,0.001,10.0,0.4,0.02,7.9,2.0,0.027,7.3,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2018-10-09,,36.0,0.5,10.1,7.0,100.0,0.08,1.0,0.03,0.25,5.9,10.9,0.001,9.0,0.2,0.02,7.9,2.0,0.027,7.1,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2019-02-06,,220.0,2.1,18.6,15.0,200.0,0.08,3.0,0.27,0.35,14.8,12.7,0.001,14.0,0.1,0.13,0.0,2.0,0.014,7.2,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2019-05-14,,37.0,1.0,11.8,6.0,100.0,0.11,3.0,0.03,0.56,4.6,12.5,0.001,7.0,0.1,0.02,10.2,8.0,0.018,6.5,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2019-05-14,,38.0,1.0,11.5,6.0,100.0,0.12,3.0,0.03,0.24,4.8,11.6,0.001,7.87,0.1,0.02,10.1,8.0,0.031,6.5,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2019-08-06,,40.0,1.0,11.8,5.0,100.0,0.002,3.0,0.04,0.31,5.4,9.7,0.001,8.0,0.1,0.02,15.5,5.0,0.025,7.3,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2019-08-06,,38.0,1.0,11.0,5.0,100.0,0.002,3.0,0.01,0.24,5.5,9.5,0.001,8.0,0.1,0.02,15.2,5.0,0.008,7.1,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2019-10-02,,43.0,0.5,21.5,6.0,100.0,0.002,6.0,0.01,0.25,8.7,10.5,0.001,8.0,0.1,0.02,9.7,2.0,0.017,7.2,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2019-10-02,,40.0,1.0,20.8,6.0,100.0,0.002,6.0,0.02,0.25,8.4,10.3,0.001,8.0,0.1,0.02,9.7,2.0,0.008,7.2,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2020-02-03,,48.0,0.5,10.0,7.4,100.0,0.11,6.0,0.1,0.22,6.0,12.8,0.01,9.0,0.5,0.04,0.2,15.0,0.021,7.1,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2020-05-13,,49.0,1.5,7.2,5.7,100.0,0.06,5.0,0.1,0.04,3.0,11.4,0.01,8.0,0.1,0.02,8.6,5.0,0.009,7.4,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2020-05-13,,46.0,3.0,7.6,5.9,100.0,0.06,4.0,0.1,0.05,3.0,11.2,0.01,9.0,0.1,0.02,8.7,5.0,0.012,7.3,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2020-08-03,,35.0,1.0,9.1,6.4,100.0,0.05,4.0,0.1,0.08,5.0,8.8,0.01,9.0,0.3,0.02,16.9,5.0,0.024,7.0,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2020-10-14,,38.0,0.5,9.9,6.5,100.0,0.05,5.0,0.1,0.08,5.0,9.6,0.01,9.0,0.3,0.02,11.3,5.0,0.011,6.9,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2021-02-01,,70.0,2.5,19.5,23.0,200.0,0.09,11.0,0.46,0.27,17.0,12.3,0.01,2.0,0.3,0.12,0.2,2.0,0.012,7.1,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2021-05-13,,39.0,1.1,13.2,4.0,100.0,0.08,5.0,0.15,0.24,5.0,11.9,0.01,5.0,0.1,0.02,9.3,4.0,0.081,6.8,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2021-08-03,,50.0,1.0,10.2,5.0,100.0,0.002,5.0,0.12,0.17,5.0,7.8,0.01,7.0,0.2,0.02,19.9,2.0,0.013,7.0,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2021-08-03,,43.0,1.1,9.8,5.0,100.0,0.002,4.0,0.12,0.19,5.0,7.8,0.01,7.0,0.2,0.02,20.0,2.0,0.029,6.8,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2021-10-13,,37.0,1.0,11.2,6.0,100.0,0.08,3.0,0.07,0.14,6.0,10.8,0.01,8.0,0.1,0.02,8.8,2.0,0.011,6.9,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2022-02-01,,66.0,0.5,15.7,14.1,200.0,0.13,4.6,0.25,0.5,9.2,12.6,0.01,15.6,1.0,0.05,0.0,7.0,0.0202,6.5,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2022-05-11,,43.0,1.0,10.6,5.4,100.0,0.08,3.0,0.02,0.29,6.7,12.4,0.01,7.4,0.1,0.02,8.2,4.0,0.0059,6.7,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2022-08-01,,45.0,0.5,7.4,5.4,100.0,0.03,2.7,0.01,0.19,4.2,9.2,0.01,7.4,0.2,0.02,17.9,2.0,0.002,7.5,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2022-08-01,,47.0,1.1,6.8,5.7,100.0,0.04,2.9,0.01,0.22,4.4,9.5,0.01,7.6,0.1,0.02,18.0,2.0,0.0161,7.5,Neva River (0.1 Left Bank),59.8333333333333,30.5
RUS00036,2022-10-04,,57.0,1.7,12.1,7.5,100.0,0.15,4.0,0.01,0.31,6.8,9.5,0.01,8.8,0.2,0.03,9.5,53.0,0.0226,7.4,Neva River (0.1 Left Bank),59.8333333333333,30.5
